# post2-lite aero table v1
# reference_area_m2,21.2372
mach,alpha_deg,cd,cl
0.000000,0.000000,0.061832,0.000000
0.000000,2.000000,0.064472,0.074530
0.000000,4.000000,0.073334,0.162333
0.000000,6.000000,0.089770,0.262569
0.000000,8.000000,0.115037,0.374247
0.000000,10.000000,0.150285,0.496230
0.000000,15.000000,0.288472,0.837691
0.000000,20.000000,0.507183,1.212688
0.200000,0.000000,0.052124,0.000000
0.200000,2.000000,0.054821,0.076307
0.200000,4.000000,0.063851,0.165873
0.200000,6.000000,0.080563,0.267848
0.200000,8.000000,0.106214,0.381226
0.200000,10.000000,0.141949,0.504862
0.200000,15.000000,0.281763,0.850162
0.200000,20.000000,0.502594,1.228464
0.400000,0.000000,0.048208,0.000000
0.400000,2.000000,0.051079,0.081356
0.400000,4.000000,0.060628,0.175930
0.400000,6.000000,0.078200,0.282828
0.400000,8.000000,0.105040,0.401006
0.400000,10.000000,0.142278,0.529277
0.400000,15.000000,0.287100,0.885209
0.400000,20.000000,0.514406,1.272368
0.600000,0.000000,0.046099,0.000000
0.600000,2.000000,0.049357,0.092508
0.600000,4.000000,0.060067,0.198139
0.600000,6.000000,0.079556,0.315907
0.600000,8.000000,0.109047,0.444675
0.600000,10.000000,0.149638,0.583168
0.600000,15.000000,0.305627,0.962503
0.600000,20.000000,0.547360,1.369075
0.700000,0.000000,0.045276,0.000000
0.700000,2.000000,0.048901,0.103013
0.700000,4.000000,0.060705,0.219060
0.700000,6.000000,0.082003,0.347067
0.700000,8.000000,0.113997,0.485809
0.700000,10.000000,0.157753,0.633929
0.700000,15.000000,0.324280,1.035296
0.700000,20.000000,0.579625,1.460129
0.800000,0.000000,0.044525,0.000000
0.800000,2.000000,0.048219,0.105012
0.800000,4.000000,0.060230,0.223041
0.800000,6.000000,0.081871,0.352995
0.800000,8.000000,0.114338,0.493636
0.800000,10.000000,0.158694,0.643589
0.800000,15.000000,0.327215,1.049154
0.800000,20.000000,0.585139,1.477475
0.850000,0.000000,0.147858,0.000000
0.850000,2.000000,0.151489,0.101405
0.850000,4.000000,0.163312,0.215832
0.850000,6.000000,0.184639,0.342194
0.850000,8.000000,0.216666,0.479255
0.850000,10.000000,0.260457,0.625645
0.850000,15.000000,0.427028,1.022410
0.850000,20.000000,0.682241,1.442133
0.900000,0.000000,0.247231,0.000000
0.900000,2.000000,0.250801,0.097937
0.900000,4.000000,0.262442,0.208900
0.900000,6.000000,0.283467,0.331807
0.900000,8.000000,0.315071,0.465425
0.900000,10.000000,0.358320,0.608389
0.900000,15.000000,0.523014,0.996690
0.900000,20.000000,0.775620,1.408145
0.950000,0.000000,0.338823,0.000000
0.950000,2.000000,0.342338,0.094741
0.950000,4.000000,0.353811,0.202511
0.950000,6.000000,0.374557,0.322233
0.950000,8.000000,0.405772,0.452678
0.950000,10.000000,0.448520,0.592485
0.950000,15.000000,0.611485,0.972984
