# post2-lite aero table v1
# reference_area_m2,19.635
mach,alpha_deg,cd,cl
0.000000,0.000000,0.047193,0.000000
0.000000,2.000000,0.049802,0.073870
0.000000,4.000000,0.058405,0.158682
0.000000,6.000000,0.074112,0.253640
0.000000,8.000000,0.097946,0.357821
0.000000,10.000000,0.130828,0.470188
0.000000,15.000000,0.257643,0.779197
0.000000,20.000000,0.454916,1.111886
0.200000,0.000000,0.040025,0.000000
0.200000,2.000000,0.042687,0.075557
0.200000,4.000000,0.051454,0.162045
0.200000,6.000000,0.067431,0.258653
0.200000,8.000000,0.091638,0.364447
0.200000,10.000000,0.124993,0.478379
0.200000,15.000000,0.253387,0.791011
0.200000,20.000000,0.452713,1.126794
0.400000,0.000000,0.037143,0.000000
0.400000,2.000000,0.039979,0.080570
0.400000,4.000000,0.049263,0.172029
0.400000,6.000000,0.066096,0.273525
0.400000,8.000000,0.091487,0.384083
0.400000,10.000000,0.126340,0.502615
0.400000,15.000000,0.259723,0.825791
0.400000,20.000000,0.465497,1.170344
0.600000,0.000000,0.035596,0.000000
0.600000,2.000000,0.038820,0.091703
0.600000,4.000000,0.049263,0.194199
0.600000,6.000000,0.068011,0.306545
0.600000,8.000000,0.096052,0.427674
0.600000,10.000000,0.134255,0.556408
0.600000,15.000000,0.278793,0.902939
0.600000,20.000000,0.498979,1.266859
0.700000,0.000000,0.034994,0.000000
0.700000,2.000000,0.038584,0.102200
0.700000,4.000000,0.050121,0.215105
0.700000,6.000000,0.070679,0.337682
0.700000,8.000000,0.101220,0.468777
0.700000,10.000000,0.142587,0.607131
0.700000,15.000000,0.297660,0.975674
0.700000,20.000000,0.531452,1.357837
0.800000,0.000000,0.034445,0.000000
0.800000,2.000000,0.038105,0.104192
0.800000,4.000000,0.049849,0.219071
0.800000,6.000000,0.070748,0.343589
0.800000,8.000000,0.101762,0.476576
0.800000,10.000000,0.143727,0.616755
0.800000,15.000000,0.300791,0.989480
0.800000,20.000000,0.537156,1.375113
0.850000,0.000000,0.084229,0.000000
0.850000,2.000000,0.087858,0.102454
