# post2-lite aero table v1
# reference_area_m2,10.1788
mach,alpha_deg,cd,cl
0.000000,0.000000,0.056940,0.000000
0.000000,2.000000,0.059569,0.074286
0.000000,4.000000,0.068338,0.161018
0.000000,6.000000,0.084515,0.259373
0.000000,8.000000,0.109272,0.368383
0.000000,10.000000,0.143680,0.486948
0.000000,15.000000,0.277831,0.816881
0.000000,20.000000,0.488935,1.176857
0.200000,0.000000,0.049072,0.000000
0.200000,2.000000,0.051756,0.075998
0.200000,4.000000,0.060690,0.164430
0.200000,6.000000,0.077138,0.264459
0.200000,8.000000,0.102272,0.375107
0.200000,10.000000,0.137157,0.495260
0.200000,15.000000,0.272900,0.828876
0.200000,20.000000,0.486075,1.192004
0.400000,0.000000,0.045920,0.000000
0.400000,2.000000,0.048777,0.081021
0.400000,4.000000,0.058230,0.174433
0.400000,6.000000,0.075535,0.279360
0.400000,8.000000,0.101854,0.394780
0.400000,10.000000,0.138238,0.519543
0.400000,15.000000,0.278975,0.863725
0.400000,20.000000,0.498606,1.235647
0.600000,0.000000,0.044234,0.000000
0.600000,2.000000,0.047479,0.092158
0.600000,4.000000,0.058090,0.196613
0.600000,6.000000,0.077311,0.312394
0.600000,8.000000,0.106280,0.438390
0.600000,10.000000,0.146015,0.573361
0.600000,15.000000,0.297910,0.940910
0.600000,20.000000,0.531957,1.332209
0.700000,0.000000,0.043579,0.000000
0.700000,2.000000,0.047190,0.102657
0.700000,4.000000,0.058896,0.217523
0.700000,6.000000,0.079926,0.343537
0.700000,8.000000,0.111397,0.479501
0.700000,10.000000,0.154295,0.624092
0.700000,15.000000,0.316725,1.013659
0.700000,20.000000,0.564380,1.423205
0.800000,0.000000,0.042983,0.000000
0.800000,2.000000,0.046664,0.104650
0.800000,4.000000,0.058576,0.221492
0.800000,6.000000,0.079948,0.349449
0.800000,8.000000,0.111892,0.487306
0.800000,10.000000,0.155389,0.633725
0.800000,15.000000,0.319811,1.027477
0.800000,20.000000,0.570040,1.440498
0.850000,0.000000,0.079151,0.000000
0.850000,2.000000,0.082810,0.103388
0.850000,4.000000,0.094656,0.218969
0.850000,6.000000,0.115919,0.345668
0.850000,8.000000,0.147708,0.482273
0.850000,10.000000,0.191008,0.627444
0.850000,15.000000,0.354747,1.018116
0.850000,20.000000,0.604027,1.428128
0.900000,0.000000,0.113953,0.000000
0.900000,2.000000,0.117591,0.102173
0.900000,4.000000,0.129374,0.216541
0.900000,6.000000,0.150530,0.342030
0.900000,8.000000,0.182172,0.477429
0.900000,10.000000,0.225281,0.621401
0.900000,15.000000,0.388363,1.009108
0.900000,20.000000,0.636730,1.416225
0.950000,0.000000,0.146066,0.000000
0.950000,2.000000,0.149684,0.101053
0.950000,4.000000,0.161408,0.214301
0.950000,6.000000,0.182467,0.338674
0.950000,8.000000,0.213972,0.472960
0.950000,10.000000,0.256906,0.615825
0.950000,15.000000,0.419382,1.000797
0.950000,20.000000,0.666906,1.405241
1.000000,0.000000,0.174271,0.000000
1.000000,2.000000,0.176828,0.070191
1.000000,4.000000,0.185383,0.152833
1.000000,6.000000,0.201203,0.247109
1.000000,8.000000,0.225461,0.352054
1.000000,10.000000,0.259229,0.466574
1.000000,15.000000,0.391164,0.786513
1.000000,20.000000,0.599190,1.136728
1.050000,0.000000,0.197446,0.000000
1.050000,2.000000,0.199990,0.069382
1.050000,4.000000,0.208503,0.151217
1.050000,6.000000,0.224251,0.244686
1.050000,8.000000,0.248411,0.348829
1.050000,10.000000,0.282052,0.462549
1.050000,15.000000,0.413550,0.780515
1.050000,20.000000,0.620968,1.128801
1.100000,0.000000,0.214768,0.000000
1.100000,2.000000,0.217301,0.068778
1.100000,4.000000,0.225783,0.150008
1.100000,6.000000,0.241479,0.242875
1.100000,8.000000,0.265565,0.346418
1.100000,10.000000,0.299111,0.459541
1.100000,15.000000,0.430282,0.776031
1.100000,20.000000,0.637246,1.122877
1.200000,0.000000,0.229496,0.000000
1.200000,2.000000,0.232020,0.068264
1.200000,4.000000,0.240474,0.148981
1.200000,6.000000,0.256126,0.241336
1.200000,8.000000,0.280149,0.344368
1.200000,10.000000,0.313615,0.456984
1.200000,15.000000,0.444507,0.772220
1.200000,20.000000,0.651085,1.117840
1.300000,0.000000,0.190614,0.000000
1.300000,2.000000,0.193162,0.069621
1.300000,4.000000,0.201687,0.151693
1.300000,6.000000,0.217457,0.245400
1.300000,8.000000,0.241646,0.349779
1.300000,10.000000,0.275324,0.463736
1.300000,15.000000,0.406951,0.782283
1.300000,20.000000,0.614548,1.131138
1.500000,0.000000,0.149683,0.000000
1.500000,2.000000,0.152256,0.071049
1.500000,4.000000,0.160856,0.154549
1.500000,6.000000,0.176750,0.249679
1.500000,8.000000,0.201113,0.355476
1.500000,10.000000,0.235015,0.470843
1.500000,15.000000,0.367414,0.792877
1.500000,20.000000,0.576086,1.145137
1.750000,0.000000,0.122372,0.000000
1.750000,2.000000,0.124961,0.072002
1.750000,4.000000,0.133611,0.156454
1.750000,6.000000,0.149588,0.252534
1.750000,8.000000,0.174067,0.359277
1.750000,10.000000,0.208118,0.475586
1.750000,15.000000,0.341033,0.799946
1.750000,20.000000,0.550421,1.154478
2.000000,0.000000,0.105250,0.000000
2.000000,2.000000,0.107849,0.072600
2.000000,4.000000,0.116530,0.157648
2.000000,6.000000,0.132560,0.254323
2.000000,8.000000,0.157112,0.361660
2.000000,10.000000,0.191256,0.478559
2.000000,15.000000,0.324495,0.804377
2.000000,20.000000,0.534331,1.160335
2.500000,0.000000,0.083903,0.000000
2.500000,2.000000,0.086515,0.073345
2.500000,4.000000,0.095236,0.159137
2.500000,6.000000,0.111330,0.256555
2.500000,8.000000,0.135973,0.364631
2.500000,10.000000,0.170234,0.482266
2.500000,15.000000,0.303875,0.809902
2.500000,20.000000,0.514272,1.167636
3.000000,0.000000,0.070604,0.000000
3.000000,2.000000,0.073225,0.073809
3.000000,4.000000,0.081969,0.160065
3.000000,6.000000,0.098104,0.257945
3.000000,8.000000,0.122804,0.366482
3.000000,10.000000,0.157137,0.484575
3.000000,15.000000,0.291030,0.813344
3.000000,20.000000,0.501775,1.172184
3.500000,0.000000,0.061591,0.000000
3.500000,2.000000,0.064217,0.074123
3.500000,4.000000,0.072978,0.160694
3.500000,6.000000,0.089140,0.258887
3.500000,8.000000,0.113878,0.367736
3.500000,10.000000,0.148261,0.486140
3.500000,15.000000,0.282324,0.815677
3.500000,20.000000,0.493306,1.175267
4.000000,0.000000,0.054930,0.000000
4.000000,2.000000,0.057560,0.074356
4.000000,4.000000,0.066334,0.161158
4.000000,6.000000,0.082516,0.259583
4.000000,8.000000,0.107282,0.368663
4.000000,10.000000,0.141701,0.487297
4.000000,15.000000,0.275890,0.817401
4.000000,20.000000,0.487047,1.177545
5.000000,0.000000,0.045408,0.000000
5.000000,2.000000,0.048044,0.074688
5.000000,4.000000,0.056834,0.161822
5.000000,6.000000,0.073046,0.260578
