# post2-lite aero table v1
# reference_area_m2,21.2372
mach,alpha_deg,cd,cl
0.000000,0.000000,0.091233,0.000000
0.000000,2.000000,0.094017,0.078107
0.000000,4.000000,0.103948,0.178638
0.000000,6.000000,0.123329,0.300588
0.000000,8.000000,0.154346,0.442688
0.000000,10.000000,0.199040,0.603421
0.000000,15.000000,0.382434,1.074766
0.000000,20.000000,0.686107,1.618314
0.200000,0.000000,0.076736,0.000000
0.200000,2.000000,0.079578,0.080051
0.200000,4.000000,0.089686,0.182512
0.200000,6.000000,0.109359,0.306367
0.200000,8.000000,0.140780,0.450334
0.200000,10.000000,0.185988,0.612884
0.200000,15.000000,0.371100,1.088477
0.200000,20.000000,0.677017,1.635728
0.400000,0.000000,0.070842,0.000000
0.400000,2.000000,0.073859,0.085169
0.400000,4.000000,0.084490,0.192707
0.400000,6.000000,0.105029,0.321554
0.400000,8.000000,0.137647,0.470389
0.400000,10.000000,0.184368,0.637643
0.400000,15.000000,0.374526,1.124037
0.400000,20.000000,0.686971,1.680308
0.600000,0.000000,0.067642,0.000000
0.600000,2.000000,0.071048,0.096359
0.600000,4.000000,0.082841,0.214992
0.600000,6.000000,0.105300,0.354747
0.600000,8.000000,0.140574,0.514210
0.600000,10.000000,0.190655,0.691723
0.600000,15.000000,0.391999,1.201613
0.600000,20.000000,0.718900,1.777388
0.700000,0.000000,0.066386,0.000000
0.700000,2.000000,0.070159,0.106880
0.700000,4.000000,0.083047,0.235944
0.700000,6.000000,0.107317,0.385952
0.700000,8.000000,0.145096,0.555404
0.700000,10.000000,0.198344,0.742559
0.700000,15.000000,0.410234,1.274518
0.700000,20.000000,0.750758,1.868590
0.800000,0.000000,0.065237,0.000000
0.800000,2.000000,0.069079,0.108892
0.800000,4.000000,0.082175,0.239952
0.800000,6.000000,0.106789,0.391922
0.800000,8.000000,0.145042,0.563286
0.800000,10.000000,0.198892,0.752288
0.800000,15.000000,0.412785,1.288479
0.800000,20.000000,0.755897,1.886072
0.850000,0.000000,0.127319,0.000000
0.850000,2.000000,0.131124,0.106725
0.850000,4.000000,0.144106,0.235621
0.850000,6.000000,0.168531,0.385432
0.850000,8.000000,0.206521,0.554646
0.850000,10.000000,0.260031,0.741507
0.850000,15.000000,0.472752,1.272411
0.850000,20.000000,0.814236,1.864839
0.900000,0.000000,0.187025,0.000000
0.900000,2.000000,0.190793,0.104642
0.900000,4.000000,0.203666,0.231456
0.900000,6.000000,0.227909,0.379192
0.900000,8.000000,0.265645,0.546337
0.900000,10.000000,0.318829,0.731140
0.900000,15.000000,0.530423,1.256958
0.900000,20.000000,0.870341,1.844418
0.950000,0.000000,0.242050,0.000000
0.950000,2.000000,0.245784,0.102721
0.950000,4.000000,0.258557,0.227618
0.950000,6.000000,0.282633,0.373440
0.950000,8.000000,0.320135,0.538679
0.950000,10.000000,0.373019,0.721585
0.950000,15.000000,0.583573,1.242716
0.950000,20.000000,0.922048,1.825599
1.000000,0.000000,0.290274,0.000000
1.000000,2.000000,0.292936,0.071161
1.000000,4.000000,0.302503,0.164754
1.000000,6.000000,0.321279,0.279782
1.000000,8.000000,0.351449,0.414987
1.000000,10.000000,0.395057,0.568858
1.000000,15.000000,0.574693,1.023251
1.000000,20.000000,0.873143,1.550238
1.050000,0.000000,0.329739,0.000000
1.050000,2.000000,0.332377,0.069784
1.050000,4.000000,0.341873,0.162001
1.050000,6.000000,0.360528,0.275657
1.050000,8.000000,0.390531,0.409494
1.050000,10.000000,0.433923,0.562004
1.050000,15.000000,0.612814,1.013036
1.050000,20.000000,0.910229,1.536740
1.100000,0.000000,0.359018,0.000000
1.100000,2.000000,0.361638,0.068762
1.100000,4.000000,0.371080,0.159958
1.100000,6.000000,0.389647,0.272596
1.100000,8.000000,0.419524,0.405419
1.100000,10.000000,0.462757,0.556920
1.100000,15.000000,0.641095,1.005458
1.100000,20.000000,0.937742,1.526726
1.200000,0.000000,0.382915,0.000000
1.200000,2.000000,0.385520,0.067928
