# post2-lite aero table v1
# reference_area_m2,10.5209
mach,alpha_deg,cd,cl
0.000000,0.000000,0.059595,0.000000
0.000000,2.000000,0.062221,0.074151
0.000000,4.000000,0.070975,0.160664
0.000000,6.000000,0.087116,0.258717
0.000000,8.000000,0.111808,0.367346
0.000000,10.000000,0.146113,0.485453
0.000000,15.000000,0.279792,0.813940
0.000000,20.000000,0.490037,1.172121
0.200000,0.000000,0.051256,0.000000
0.200000,2.000000,0.053937,0.075879
0.200000,4.000000,0.062857,0.164108
0.200000,6.000000,0.079271,0.263852
0.200000,8.000000,0.104341,0.374135
0.200000,10.000000,0.139126,0.493846
0.200000,15.000000,0.274406,0.826057
0.200000,20.000000,0.486734,1.187428
0.400000,0.000000,0.047915,0.000000
0.400000,2.000000,0.050770,0.080909
0.400000,4.000000,0.060208,0.174125
0.400000,6.000000,0.077479,0.278773
0.400000,8.000000,0.103736,0.393835
0.400000,10.000000,0.140020,0.518162
0.400000,15.000000,0.280298,0.860956
0.400000,20.000000,0.499087,1.231136
0.600000,0.000000,0.046127,0.000000
0.600000,2.000000,0.049369,0.092049
0.600000,4.000000,0.059967,0.196312
0.600000,6.000000,0.079154,0.311818
0.600000,8.000000,0.108061,0.437459
0.600000,10.000000,0.147697,0.571998
0.600000,15.000000,0.299135,0.938166
0.600000,20.000000,0.532343,1.327733
0.700000,0.000000,0.045433,0.000000
0.700000,2.000000,0.049041,0.102550
0.700000,4.000000,0.060733,0.217224
0.700000,6.000000,0.081730,0.342964
0.700000,8.000000,0.113138,0.478575
0.700000,10.000000,0.155939,0.622736
0.700000,15.000000,0.317912,1.010926
0.700000,20.000000,0.564729,1.418743
0.800000,0.000000,0.044801,0.000000
0.800000,2.000000,0.048479,0.104544
0.800000,4.000000,0.060378,0.221196
0.800000,6.000000,0.081716,0.348880
0.800000,8.000000,0.113598,0.486385
0.800000,10.000000,0.156997,0.632375
0.800000,15.000000,0.320963,1.024753
0.800000,20.000000,0.570355,1.436048
0.850000,0.000000,0.088998,0.000000
0.850000,2.000000,0.092649,0.103002
0.850000,4.000000,0.104467,0.218113
0.850000,6.000000,0.125671,0.344261
0.850000,8.000000,0.157365,0.480234
0.850000,10.000000,0.200522,0.624700
0.850000,15.000000,0.363654,1.013314
0.850000,20.000000,0.611886,1.420932
0.900000,0.000000,0.131520,0.000000
0.900000,2.000000,0.135145,0.101518
0.900000,4.000000,0.146885,0.215147
0.900000,6.000000,0.167960,0.339816
