# post2-lite aero table v1
# reference_area_m2,21.2372
mach,alpha_deg,cd,cl
0.000000,0.000000,0.021216,0.000000
0.000000,2.000000,0.023680,0.070182
0.000000,4.000000,0.031210,0.142175
0.000000,6.000000,0.043967,0.215347
0.000000,8.000000,0.062048,0.289051
0.000000,10.000000,0.085485,0.362631
0.000000,15.000000,0.167121,0.541732
0.000000,20.000000,0.279517,0.705934
0.200000,0.000000,0.018381,0.000000
0.200000,2.000000,0.020896,0.071719
0.200000,4.000000,0.028581,0.145236
0.200000,6.000000,0.041595,0.219907
0.200000,8.000000,0.060031,0.295074
0.200000,10.000000,0.083917,0.370069
0.200000,15.000000,0.167051,0.552425
0.200000,20.000000,0.281386,0.719359
0.400000,0.000000,0.017270,0.000000
0.400000,2.000000,0.019958,0.076670
0.400000,4.000000,0.028158,0.155096
0.400000,6.000000,0.042022,0.234594
0.400000,8.000000,0.061635,0.314463
0.400000,10.000000,0.087009,0.393998
0.400000,15.000000,0.175097,0.586746
0.400000,20.000000,0.295834,0.762304
0.600000,0.000000,0.016689,0.000000
0.600000,2.000000,0.019764,0.087769
0.600000,4.000000,0.029120,0.177199
0.600000,6.000000,0.044897,0.267513
0.600000,8.000000,0.067155,0.357920
0.600000,10.000000,0.095874,0.447624
0.600000,15.000000,0.195100,0.663644
0.600000,20.000000,0.330224,0.858488
0.700000,0.000000,0.016467,0.000000
0.700000,2.000000,0.019908,0.098253
0.700000,4.000000,0.030358,0.198079
0.700000,6.000000,0.047942,0.298610
0.700000,8.000000,0.072700,0.398970
0.700000,10.000000,0.104581,0.498280
0.700000,15.000000,0.214333,0.736282
0.700000,20.000000,0.363054,0.949337
0.800000,0.000000,0.016266,0.000000
0.800000,2.000000,0.019776,0.100233
0.800000,4.000000,0.030433,0.202020
0.800000,6.000000,0.048358,0.304481
0.800000,8.000000,0.073587,0.406721
0.800000,10.000000,0.106064,0.507844
0.800000,15.000000,0.217801,0.749997
0.800000,20.000000,0.369085,0.966494
0.850000,0.000000,0.374172,0.000000
0.850000,2.000000,0.377464,0.087742
0.850000,4.000000,0.387466,0.177054
0.850000,6.000000,0.404303,0.267070
0.850000,8.000000,0.428009,0.356910
0.850000,10.000000,0.458532,0.445695
0.850000,15.000000,0.563511,0.657364
0.850000,20.000000,0.705406,0.844083
0.900000,0.000000,0.718335,0.000000
0.900000,2.000000,0.721418,0.075731
0.900000,4.000000,0.730791,0.153047
0.900000,6.000000,0.746581,0.231095
0.900000,8.000000,0.768823,0.309011
0.900000,10.000000,0.797467,0.385931
0.900000,15.000000,0.895948,0.568288
0.900000,20.000000,1.028814,0.726372
0.950000,0.000000,1.035540,0.000000
0.950000,2.000000,1.038429,0.064660
0.950000,4.000000,1.047223,0.130920
0.950000,6.000000,1.062048,0.197938
0.950000,8.000000,1.082941,0.264865
0.950000,10.000000,1.109852,0.330849
0.950000,15.000000,1.202344,0.486190
0.950000,20.000000,1.326889,0.617882
1.000000,0.000000,1.313604,0.000000
1.000000,2.000000,1.315281,0.025079
1.000000,4.000000,1.320450,0.052022
1.000000,6.000000,1.329275,0.080255
1.000000,8.000000,1.341859,0.109185
1.000000,10.000000,1.358239,0.138211
1.000000,15.000000,1.415472,0.207237
1.000000,20.000000,1.493964,0.263911
1.050000,0.000000,1.541834,0.000000
1.050000,2.000000,1.543372,0.017114
1.050000,4.000000,1.548124,0.036102
1.050000,6.000000,1.556255,0.056399
1.050000,8.000000,1.567868,0.077422
1.050000,10.000000,1.583002,0.098579
1.050000,15.000000,1.635926,0.148167
1.050000,20.000000,1.708430,0.185852
1.100000,0.000000,1.711486,0.000000
1.100000,2.000000,1.712920,0.011193
1.100000,4.000000,1.717362,0.024268
1.100000,6.000000,1.724977,0.038665
1.100000,8.000000,1.735868,0.053811
1.100000,10.000000,1.750076,0.069119
1.100000,15.000000,1.799796,0.104258
1.100000,20.000000,1.867851,0.127828
1.200000,0.000000,1.851510,0.000000
1.200000,2.000000,1.852859,0.006306
1.200000,4.000000,1.857046,0.014500
1.200000,6.000000,1.864235,0.024029
1.200000,8.000000,1.874530,0.034323
1.200000,10.000000,1.887973,0.044804
1.200000,15.000000,1.935050,0.068017
1.200000,20.000000,1.999431,0.079937
1.300000,0.000000,1.481311,0.000000
1.300000,2.000000,1.482885,0.019226
1.300000,4.000000,1.487747,0.040324
1.300000,6.000000,1.496063,0.062725
1.300000,8.000000,1.507933,0.085845
1.300000,10.000000,1.523397,0.109089
1.300000,15.000000,1.577464,0.163832
1.300000,20.000000,1.651557,0.206552
1.500000,0.000000,1.103556,0.000000
1.500000,2.000000,1.105360,0.032409
1.500000,4.000000,1.110913,0.066675
1.500000,6.000000,1.120377,0.102211
1.500000,8.000000,1.133855,0.138418
1.500000,10.000000,1.151382,0.174685
1.500000,15.000000,1.212581,0.261602
1.500000,20.000000,1.296583,0.335752
1.750000,0.000000,0.861230,0.000000
1.750000,2.000000,0.863182,0.040866
1.750000,4.000000,0.869178,0.083578
1.750000,6.000000,0.879379,0.127541
1.750000,8.000000,0.893887,0.172144
1.750000,10.000000,0.912738,0.216765
1.750000,15.000000,0.978513,0.324320
1.750000,20.000000,1.068872,0.418632
2.000000,0.000000,0.715439,0.000000
2.000000,2.000000,0.717480,0.045954
2.000000,4.000000,0.723742,0.093748
2.000000,6.000000,0.734387,0.142781
2.000000,8.000000,0.749515,0.192434
2.000000,10.000000,0.769161,0.242081
2.000000,15.000000,0.837689,0.362054
2.000000,20.000000,0.931873,0.468496
2.500000,0.000000,0.542345,0.000000
2.500000,2.000000,0.544492,0.051995
2.500000,4.000000,0.551069,0.105823
2.500000,6.000000,0.562241,0.160874
2.500000,8.000000,0.578106,0.216524
2.500000,10.000000,0.598697,0.272138
2.500000,15.000000,0.670493,0.406854
2.500000,20.000000,0.769218,0.527697
3.000000,0.000000,0.440271,0.000000
3.000000,2.000000,0.442480,0.055558
3.000000,4.000000,0.449244,0.112943
3.000000,6.000000,0.460726,0.171544
3.000000,8.000000,0.477025,0.230730
3.000000,10.000000,0.498174,0.289863
3.000000,15.000000,0.571897,0.433272
3.000000,20.000000,0.673300,0.562609
3.500000,0.000000,0.371992,0.000000
3.500000,2.000000,0.374242,0.057941
3.500000,4.000000,0.381131,0.117706
3.500000,6.000000,0.392821,0.178681
3.500000,8.000000,0.409410,0.240232
3.500000,10.000000,0.430932,0.301720
3.500000,15.000000,0.505944,0.450944
3.500000,20.000000,0.609138,0.585962
4.000000,0.000000,0.322720,0.000000
4.000000,2.000000,0.325000,0.059660
4.000000,4.000000,0.331980,0.121143
4.000000,6.000000,0.343819,0.183831
4.000000,8.000000,0.360618,0.247090
4.000000,10.000000,0.382409,0.310276
4.000000,15.000000,0.458352,0.463697
4.000000,20.000000,0.562838,0.602814
5.000000,0.000000,0.255849,0.000000
5.000000,2.000000,0.258170,0.061994
5.000000,4.000000,0.265271,0.125808
5.000000,6.000000,0.277315,0.190821
5.000000,8.000000,0.294398,0.256396
5.000000,10.000000,0.316554,0.321888
5.000000,15.000000,0.393759,0.481004
5.000000,20.000000,0.500000,0.625685
6.000000,0.000000,0.212608,0.000000
6.000000,2.000000,0.214955,0.063503
6.000000,4.000000,0.222135,0.128824
6.000000,6.000000,0.234310,0.195341
6.000000,8.000000,0.251577,0.262414
6.000000,10.000000,0.273969,0.329397
6.000000,15.000000,0.351991,0.492196
6.000000,20.000000,0.459366,0.640474
8.000000,0.000000,0.159187,0.000000
8.000000,2.000000,0.161567,0.065367
8.000000,4.000000,0.168845,0.132550
8.000000,6.000000,0.181182,0.200925
8.000000,8.000000,0.198676,0.269849
8.000000,10.000000,0.221360,0.338673
8.000000,15.000000,0.300391,0.506022
8.000000,20.000000,0.409167,0.658745
